min,Intensity
0.00000000,-98296.000000
0.00333333,0.000000
0.00666667,6.000000
0.01000000,4.000000
0.01333333,11.000000
0.01666667,12.000000
0.02000000,4.000000
0.02333333,0.000000
0.02666667,-9.000000
0.03000000,-6.000000
0.03333333,-1.000000
0.03666667,6.000000
0.04000000,6.000000
0.04333333,0.000000
0.04666667,-5.000000
0.05000000,7.000000
0.05333333,-2.000000
0.05666667,-11.000000
0.06000000,-15.000000
0.06333333,-17.000000
0.06666667,-15.000000
0.07000000,-7.000000
0.07333333,10.000000
0.07666667,12.000000
0.08000000,15.000000
0.08333333,10.000000
0.08666667,13.000000
0.09000000,15.000000
0.09333333,20.000000
0.09666667,20.000000
0.10000000,28.000000
0.10333333,30.000000
0.10666667,33.000000
0.11000000,48.000000
0.11333333,48.000000
0.11666667,56.000000
0.12000000,53.000000
0.12333333,50.000000
0.12666667,44.000000
0.13000000,49.000000
0.13333333,53.000000
0.13666667,56.000000
0.14000000,65.000000
0.14333333,54.000000
0.14666667,53.000000
0.15000000,60.000000
0.15333333,52.000000
0.15666667,61.000000
0.16000000,71.000000
0.16333333,71.000000
0.16666667,71.000000
0.17000000,77.000000
0.17333333,73.000000
0.17666667,73.000000
0.18000000,76.000000
0.18333333,77.000000
0.18666667,71.000000
0.19000000,73.000000
0.19333333,74.000000
0.19666667,77.000000
0.20000000,80.000000
0.20333333,78.000000
0.20666667,87.000000
0.21000000,79.000000
0.21333333,78.000000
0.21666667,83.000000
0.22000000,88.000000
0.22333333,99.000000
0.22666667,112.000000
0.23000000,115.000000
0.23333333,119.000000
0.23666667,124.000000
0.24000000,145.000000
0.24333333,144.000000
0.24666667,142.000000
0.25000000,149.000000
0.25333333,146.000000
0.25666667,152.000000
0.26000000,149.000000
0.26333333,151.000000
0.26666667,156.000000
0.27000000,146.000000
0.27333333,150.000000
0.27666667,136.000000
0.28000000,134.000000
0.28333333,133.000000
0.28666667,124.000000
0.29000000,127.000000
0.29333333,115.000000
0.29666667,116.000000
0.30000000,120.000000
0.30333333,122.000000
0.30666667,125.000000
0.31000000,128.000000
0.31333333,132.000000
0.31666667,136.000000
0.32000000,129.000000
0.32333333,145.000000
0.32666667,145.000000
0.33000000,147.000000
0.33333333,134.000000
0.33666667,139.000000
0.34000000,160.000000
0.34333333,166.000000
0.34666667,186.000000
0.35000000,193.000000
0.35333333,189.000000
0.35666667,198.000000
0.36000000,212.000000
0.36333333,214.000000
0.36666667,221.000000
0.37000000,229.000000
0.37333333,225.000000
0.37666667,220.000000
0.38000000,222.000000
0.38333333,232.000000
0.38666667,241.000000
0.39000000,244.000000
0.39333333,236.000000
0.39666667,229.000000
0.40000000,219.000000
0.40333333,221.000000
0.40666667,243.000000
0.41000000,228.000000
0.41333333,210.000000
0.41666667,224.000000
0.42000000,217.000000
0.42333333,221.000000
0.42666667,229.000000
0.43000000,219.000000
0.43333333,231.000000
0.43666667,216.000000
0.44000000,207.000000
0.44333333,191.000000
0.44666667,186.000000
0.45000000,195.000000
0.45333333,203.000000
0.45666667,210.000000
0.46000000,197.000000
0.46333333,200.000000
0.46666667,205.000000
0.47000000,205.000000
0.47333333,219.000000
0.47666667,220.000000
0.48000000,232.000000
0.48333333,247.000000
0.48666667,240.000000
0.49000000,262.000000
0.49333333,285.000000
0.49666667,321.000000
0.50000000,333.000000
0.50333333,329.000000
0.50666667,326.000000
0.51000000,326.000000
0.51333333,328.000000
0.51666667,341.000000
0.52000000,353.000000
0.52333333,351.000000
0.52666667,354.000000
0.53000000,361.000000
0.53333333,363.000000
0.53666667,361.000000
0.54000000,370.000000
0.54333333,358.000000
0.54666667,356.000000
0.55000000,349.000000
0.55333333,349.000000
0.55666667,345.000000
0.56000000,343.000000
0.56333333,359.000000
0.56666667,359.000000
0.57000000,354.000000
0.57333333,353.000000
0.57666667,347.000000
0.58000000,344.000000
0.58333333,341.000000
0.58666667,331.000000
0.59000000,334.000000
0.59333333,333.000000
0.59666667,338.000000
0.60000000,348.000000
0.60333333,347.000000
0.60666667,338.000000
0.61000000,339.000000
0.61333333,340.000000
0.61666667,335.000000
0.62000000,342.000000
0.62333333,355.000000
0.62666667,366.000000
0.63000000,376.000000
0.63333333,370.000000
0.63666667,367.000000
0.64000000,382.000000
0.64333333,380.000000
0.64666667,373.000000
0.65000000,378.000000
0.65333333,369.000000
0.65666667,363.000000
0.66000000,365.000000
0.66333333,370.000000
0.66666667,364.000000
0.67000000,360.000000
0.67333333,363.000000
0.67666667,359.000000
0.68000000,348.000000
0.68333333,348.000000
0.68666667,353.000000
0.69000000,363.000000
0.69333333,365.000000
0.69666667,370.000000
0.70000000,375.000000
0.70333333,366.000000
0.70666667,374.000000
0.71000000,380.000000
0.71333333,390.000000
0.71666667,400.000000
0.72000000,416.000000
0.72333333,424.000000
0.72666667,425.000000
0.73000000,428.000000
0.73333333,433.000000
0.73666667,431.000000
0.74000000,437.000000
0.74333333,437.000000
0.74666667,430.000000
0.75000000,434.000000
0.75333333,442.000000
0.75666667,460.000000
0.76000000,454.000000
0.76333333,451.000000
0.76666667,458.000000
0.77000000,452.000000
0.77333333,449.000000
0.77666667,449.000000
0.78000000,438.000000
0.78333333,445.000000
0.78666667,447.000000
0.79000000,456.000000
0.79333333,465.000000
0.79666667,473.000000
0.80000000,478.000000
0.80333333,473.000000
0.80666667,470.000000
0.81000000,466.000000
0.81333333,470.000000
0.81666667,481.000000
0.82000000,478.000000
0.82333333,494.000000
0.82666667,507.000000
0.83000000,503.000000
0.83333333,520.000000
0.83666667,521.000000
0.84000000,517.000000
0.84333333,512.000000
0.84666667,504.000000
0.85000000,499.000000
0.85333333,503.000000
0.85666667,516.000000
0.86000000,525.000000
0.86333333,516.000000
0.86666667,522.000000
0.87000000,529.000000
0.87333333,536.000000
0.87666667,521.000000
0.88000000,508.000000
0.88333333,511.000000
0.88666667,518.000000
0.89000000,527.000000
0.89333333,535.000000
0.89666667,548.000000
0.90000000,550.000000
0.90333333,546.000000
0.90666667,542.000000
0.91000000,534.000000
0.91333333,531.000000
0.91666667,545.000000
0.92000000,536.000000
0.92333333,527.000000
0.92666667,525.000000
0.93000000,537.000000
0.93333333,545.000000
0.93666667,540.000000
0.94000000,539.000000
0.94333333,534.000000
0.94666667,545.000000
0.95000000,536.000000
0.95333333,551.000000
0.95666667,554.000000
0.96000000,565.000000
0.96333333,575.000000
0.96666667,578.000000
0.97000000,589.000000
0.97333333,591.000000
0.97666667,608.000000
0.98000000,607.000000
0.98333333,616.000000
0.98666667,624.000000
0.99000000,632.000000
0.99333333,634.000000
0.99666667,632.000000
1.00000000,634.000000
1.00333333,635.000000
1.00666667,629.000000
1.01000000,631.000000
1.01333333,637.000000
1.01666667,647.000000
1.02000000,649.000000
1.02333333,644.000000
1.02666667,659.000000
1.03000000,655.000000
1.03333333,668.000000
1.03666667,670.000000
1.04000000,666.000000
1.04333333,680.000000
1.04666667,680.000000
1.05000000,695.000000
1.05333333,700.000000
1.05666667,711.000000
1.06000000,718.000000
1.06333333,725.000000
1.06666667,720.000000
1.07000000,717.000000
1.07333333,727.000000
1.07666667,726.000000
1.08000000,733.000000
1.08333333,733.000000
1.08666667,735.000000
1.09000000,739.000000
1.09333333,746.000000
1.09666667,741.000000
1.10000000,740.000000
1.10333333,733.000000
1.10666667,731.000000
1.11000000,731.000000
1.11333333,730.000000
1.11666667,735.000000
1.12000000,734.000000
1.12333333,739.000000
1.12666667,733.000000
1.13000000,739.000000
1.13333333,736.000000
1.13666667,738.000000
1.14000000,720.000000
1.14333333,710.000000
1.14666667,711.000000
1.15000000,721.000000
1.15333333,727.000000
1.15666667,727.000000
1.16000000,730.000000
1.16333333,737.000000
1.16666667,739.000000
1.17000000,740.000000
1.17333333,748.000000
1.17666667,751.000000
1.18000000,762.000000
1.18333333,770.000000
1.18666667,770.000000
1.19000000,779.000000
1.19333333,791.000000
1.19666667,799.000000
1.20000000,802.000000
1.20333333,794.000000
1.20666667,787.000000
1.21000000,800.000000
1.21333333,806.000000
1.21666667,801.000000
1.22000000,812.000000
1.22333333,815.000000
1.22666667,818.000000
1.23000000,821.000000
1.23333333,827.000000
1.23666667,823.000000
1.24000000,824.000000
1.24333333,827.000000
1.24666667,828.000000
1.25000000,827.000000
1.25333333,833.000000
1.25666667,834.000000
1.26000000,841.000000
1.26333333,833.000000
1.26666667,834.000000
1.27000000,828.000000
1.27333333,823.000000
1.27666667,823.000000
1.28000000,829.000000
1.28333333,816.000000
1.28666667,804.000000
1.29000000,802.000000
1.29333333,808.000000
1.29666667,811.000000
1.30000000,813.000000
1.30333333,818.000000
1.30666667,811.000000
1.31000000,806.000000
1.31333333,808.000000
1.31666667,809.000000
1.32000000,802.000000
1.32333333,820.000000
1.32666667,823.000000
1.33000000,817.000000
1.33333333,813.000000
1.33666667,834.000000
1.34000000,836.000000
1.34333333,841.000000
1.34666667,838.000000
1.35000000,829.000000
1.35333333,837.000000
1.35666667,843.000000
1.36000000,854.000000
1.36333333,872.000000
1.36666667,883.000000
1.37000000,896.000000
1.37333333,901.000000
1.37666667,892.000000
1.38000000,898.000000
1.38333333,906.000000
1.38666667,916.000000
1.39000000,912.000000
1.39333333,921.000000
