min,Intensity
0.00000000,46.000000
0.00333333,0.000000
0.00666667,18.000000
0.01000000,37.000000
0.01333333,44.000000
0.01666667,50.000000
0.02000000,42.000000
0.02333333,52.000000
0.02666667,59.000000
0.03000000,58.000000
0.03333333,62.000000
0.03666667,62.000000
0.04000000,71.000000
0.04333333,70.000000
0.04666667,81.000000
0.05000000,84.000000
0.05333333,88.000000
0.05666667,95.000000
0.06000000,88.000000
0.06333333,76.000000
0.06666667,75.000000
0.07000000,75.000000
0.07333333,78.000000
0.07666667,83.000000
0.08000000,88.000000
0.08333333,93.000000
0.08666667,88.000000
0.09000000,99.000000
0.09333333,91.000000
0.09666667,107.000000
0.10000000,106.000000
0.10333333,113.000000
0.10666667,109.000000
0.11000000,114.000000
0.11333333,113.000000
0.11666667,110.000000
0.12000000,117.000000
0.12333333,115.000000
0.12666667,124.000000
0.13000000,125.000000
0.13333333,128.000000
0.13666667,121.000000
0.14000000,111.000000
0.14333333,115.000000
0.14666667,125.000000
0.15000000,121.000000
0.15333333,117.000000
0.15666667,112.000000
0.16000000,99.000000
0.16333333,103.000000
0.16666667,106.000000
0.17000000,104.000000
0.17333333,98.000000
0.17666667,105.000000
0.18000000,120.000000
0.18333333,126.000000
0.18666667,120.000000
0.19000000,136.000000
0.19333333,149.000000
0.19666667,155.000000
0.20000000,163.000000
0.20333333,168.000000
0.20666667,172.000000
0.21000000,172.000000
0.21333333,183.000000
0.21666667,188.000000
0.22000000,196.000000
0.22333333,201.000000
0.22666667,206.000000
0.23000000,199.000000
0.23333333,196.000000
0.23666667,203.000000
0.24000000,224.000000
0.24333333,215.000000
0.24666667,213.000000
0.25000000,213.000000
0.25333333,215.000000
0.25666667,207.000000
0.26000000,213.000000
0.26333333,220.000000
0.26666667,219.000000
0.27000000,213.000000
0.27333333,201.000000
0.27666667,201.000000
0.28000000,206.000000
0.28333333,205.000000
0.28666667,204.000000
0.29000000,197.000000
0.29333333,185.000000
0.29666667,192.000000
0.30000000,193.000000
0.30333333,196.000000
0.30666667,188.000000
0.31000000,203.000000
0.31333333,207.000000
0.31666667,201.000000
0.32000000,214.000000
0.32333333,211.000000
0.32666667,221.000000
0.33000000,228.000000
0.33333333,213.000000
0.33666667,224.000000
0.34000000,223.000000
0.34333333,212.000000
0.34666667,218.000000
0.35000000,216.000000
0.35333333,220.000000
0.35666667,216.000000
0.36000000,217.000000
0.36333333,212.000000
0.36666667,204.000000
0.37000000,206.000000
0.37333333,202.000000
0.37666667,205.000000
0.38000000,205.000000
0.38333333,212.000000
0.38666667,227.000000
0.39000000,228.000000
0.39333333,222.000000
0.39666667,232.000000
0.40000000,228.000000
0.40333333,233.000000
0.40666667,231.000000
0.41000000,230.000000
0.41333333,235.000000
0.41666667,235.000000
0.42000000,259.000000
0.42333333,268.000000
0.42666667,258.000000
0.43000000,266.000000
0.43333333,263.000000
0.43666667,251.000000
0.44000000,256.000000
0.44333333,257.000000
0.44666667,252.000000
0.45000000,249.000000
0.45333333,257.000000
0.45666667,253.000000
0.46000000,251.000000
0.46333333,257.000000
0.46666667,255.000000
0.47000000,262.000000
0.47333333,249.000000
0.47666667,243.000000
0.48000000,251.000000
0.48333333,253.000000
0.48666667,258.000000
0.49000000,257.000000
0.49333333,251.000000
0.49666667,247.000000
0.50000000,254.000000
0.50333333,271.000000
0.50666667,268.000000
0.51000000,286.000000
0.51333333,288.000000
0.51666667,271.000000
0.52000000,278.000000
0.52333333,263.000000
0.52666667,258.000000
0.53000000,258.000000
0.53333333,277.000000
0.53666667,280.000000
0.54000000,277.000000
0.54333333,282.000000
0.54666667,285.000000
0.55000000,293.000000
0.55333333,295.000000
0.55666667,289.000000
0.56000000,284.000000
0.56333333,281.000000
0.56666667,279.000000
0.57000000,296.000000
0.57333333,292.000000
0.57666667,313.000000
0.58000000,318.000000
0.58333333,321.000000
0.58666667,318.000000
0.59000000,309.000000
0.59333333,316.000000
0.59666667,311.000000
0.60000000,304.000000
0.60333333,303.000000
0.60666667,297.000000
0.61000000,302.000000
0.61333333,314.000000
0.61666667,303.000000
0.62000000,309.000000
0.62333333,308.000000
0.62666667,313.000000
0.63000000,311.000000
0.63333333,305.000000
0.63666667,308.000000
0.64000000,309.000000
0.64333333,324.000000
0.64666667,329.000000
0.65000000,340.000000
0.65333333,357.000000
0.65666667,353.000000
0.66000000,373.000000
0.66333333,380.000000
0.66666667,377.000000
0.67000000,377.000000
0.67333333,381.000000
0.67666667,383.000000
0.68000000,385.000000
0.68333333,395.000000
0.68666667,406.000000
0.69000000,402.000000
0.69333333,399.000000
0.69666667,395.000000
0.70000000,397.000000
0.70333333,397.000000
0.70666667,391.000000
0.71000000,384.000000
